network,dataset,activation,param,mean_train_loss,std_train_loss,mean_test_loss,std_test_loss,mean_accuracy,std_accuracy
VGG11,CIFAR100,gelu_a,0.0,1.7632313081827924,0.1122369552598425,3.2451016871539395,0.10511516429537451,29.713333333333335,0.2315647257727787
VGG11,CIFAR100,gelu_a,0.25,0.16290368723265428,0.024434643778206606,7.234828877600895,0.24626200281403726,26.076666666666668,0.7557042337375712
VGG11,CIFAR100,gelu_a,0.5,0.23446192952815384,0.038997524406279176,5.905751373610932,0.30090231245563936,28.94,1.1400877159236473
VGG11,CIFAR100,gelu_a,1.0,0.603932497896197,0.07015868114868049,3.865137194321667,0.14127119772983954,33.49,0.2970970660687604
VGG11,CIFAR100,gelu_a,2.0,0.9749865367652916,0.11683331348085199,3.0171032016191264,0.17943934869350514,37.23,0.959479025304877
VGG11,CIFAR100,gelu_a,5.0,1.398035275181541,0.07816341387534018,2.349612878993818,0.04076408996533162,42.27333333333333,0.26637484032009295
VGG11,CIFAR100,gelu_a,1000.0,1.794898531143216,0.051959210860010936,2.3835764269413713,0.03349494192087124,39.99333333333333,0.4959390643572606
VGG11,CIFAR100,silu_a,0.0,1.9088668979316927,0.12612303793206708,3.154603296328503,0.11691322464889439,29.45,0.6512040130916488
VGG11,CIFAR100,silu_a,0.25,0.14315843203113765,0.013950209083210829,8.042840727524647,0.2100140259271485,24.37,0.4243426288586461
VGG11,CIFAR100,silu_a,0.5,0.16374317289477744,0.01651930698899861,7.084949544736534,0.21854147381800051,26.03333333333333,0.7824037036949376
VGG11,CIFAR100,silu_a,1.0,0.3179363093215842,0.06148824617005505,5.1903981247778415,0.300098862371519,30.22,0.5486954224947281
VGG11,CIFAR100,silu_a,2.0,0.7732084948471083,0.11159600497904595,3.5229586828033375,0.2369074117003433,34.443333333333335,0.819037375351226
VGG11,CIFAR100,silu_a,5.0,1.2369126136116968,0.12739758068613666,2.6458254838445385,0.11802087998538742,39.1,0.5553977553669676
VGG11,CIFAR100,silu_a,1000.0,1.8686802539679093,0.07974440781972097,2.3736971847570625,0.04154813280676785,39.60666666666666,0.5535541727981299
VGG11,CIFAR100,zailu,0.0,1.7951292968670325,0.08116810321549355,3.2485004174481538,0.06340056933858051,29.463333333333335,0.4073764297987257
VGG11,CIFAR100,zailu,0.25,0.166659230926294,0.024161814888945598,7.96991277885032,0.40761085271461395,25.063333333333333,1.234242907840899
VGG11,CIFAR100,zailu,0.5,0.18959681795570976,0.019433887224441573,7.06042126121035,0.16420072954357412,25.683333333333337,0.6129890337971428
VGG11,CIFAR100,zailu,1.0,0.41334813775340656,0.08392535938132503,4.960017992230232,0.3259595371303815,29.78,0.8371777987182096
VGG11,CIFAR100,zailu,2.0,0.8721711384899475,0.12082193731095577,3.499977213612534,0.19310360336426804,32.77,0.6848844184726839
VGG11,CIFAR100,zailu,5.0,1.4900851702649471,0.1578115785487569,2.6973206270272576,0.10564547009475905,36.83,0.7637189710008975
VGG11,CIFAR100,zailu,1000.0,1.7962323990090725,0.054846943228837895,2.393183422291102,0.027522408756231513,39.836666666666666,0.4606034688922302
